MATCH,DAY,TYPE,FCB_Yellow,FCB_Red,FCB_Goal,REM_Yellow,REM_Red,REM_Goal,WINNER
1,2025-04-26,KC,4,0,3,3,3,2,B
2,2025-01-12,SC,4,1,5,5,0,2,B
3,2024-10-26,LL,5,0,4,2,0,0,B
4,2024-08-04,FM,2,0,2,2,0,1,B
5,2024-04-21,LL,3,0,2,2,0,3,M
6,2024-01-14,SC,3,1,1,2,0,4,M
7,2023-10-28,LL,2,0,1,1,0,2,M
8,2023-07-29,FM,3,0,3,4,0,0,B
9,2023-04-05,KC,7,0,0,4,0,4,M
10,2023-03-19,LL,4,0,2,3,0,1,B
11,2023-03-02,KC,3,0,1,3,0,0,B
12,2023-01-15,SC,2,0,3,2,0,1,B
13,2022-10-16,LL,2,0,1,2,0,3,M
14,2022-07-24,FM,4,0,1,1,0,0,B
15,2022-03-20,LL,4,0,4,4,0,0,B
16,2022-01-12,SC,2,0,2,2,0,3,M
17,2021-10-24,LL,1,0,1,1,0,2,M
18,2021-04-10,LL,4,0,1,3,1,2,M
19,2020-10-24,LL,3,0,1,2,0,3,M
20,2020-03-01,LL,2,0,0,2,0,2,M
21,2019-12-18,LL,3,0,0,5,0,0,Draw
22,2019-03-02,LL,2,0,1,3,0,0,B
23,2019-02-27,KC,2,0,3,2,0,0,B
24,2018-10-28,LL,2,0,5,2,0,1,B
25,2018-05-06,LL,3,1,2,5,0,2,Draw
26,2017-12-23,LL,2,0,3,2,1,0,B
27,2017-08-16,SC,2,0,0,0,0,2,M
28,2017-08-13,SC,3,0,1,6,1,3,M
29,2017-07-30,IC,2,0,3,2,0,2,B
30,2017-04-23,LL,2,0,3,3,1,2,B
31,2016-12-03,LL,4,0,1,2,0,1,Draw
32,2016-04-02,LL,3,0,1,3,1,2,M
33,2015-11-21,LL,2,0,4,3,1,0,B
34,2015-03-22,LL,5,0,2,6,0,1,B
35,2014-10-25,LL,4,0,1,2,0,3,M
36,2014-04-16,KC,2,0,1,3,0,2,M
37,2014-03-23,LL,2,0,3,5,1,4,B
38,2013-10-26,LL,2,0,2,5,0,1,B
39,2013-03-02,LL,5,1,1,4,0,2,M
40,2013-02-26,KC,2,0,1,1,0,3,M
41,2013-01-30,KC,3,0,1,3,0,1,Draw
42,2012-10-07,LL,2,0,2,4,0,2,Draw
43,2012-08-29,SC,2,1,1,4,0,2,M
44,2012-08-23,SC,1,0,3,3,0,2,B
45,2012-04-21,LL,2,0,1,4,0,2,M
46,2012-01-25,KC,2,0,2,8,1,2,Draw
47,2012-01-18,KC,3,0,2,4,0,1,B
48,2011-12-10,LL,3,0,3,4,0,1,B
49,2011-08-17,SC,3,1,3,6,2,2,B
50,2011-08-14,SC,2,0,2,3,0,2,Draw
51,2011-05-03,LL,1,0,1,5,0,1,Draw
52,2011-04-27,CL,2,1,2,3,1,0,B
53,2011-04-20,CL,3,0,0,5,1,1,M
54,2011-04-16,LL,5,0,1,2,1,1,Draw
55,2010-11-29,LL,5,0,5,8,1,0,B
56,2010-04-10,LL,4,0,2,4,0,0,B
57,2009-11-29,LL,2,1,1,6,1,0,B
58,2009-05-02,LL,2,0,6,4,0,2,B
59,2008-12-13,LL,3,0,2,5,0,0,B
60,2008-05-07,LL,7,1,1,3,0,4,M
61,2007-12-23,LL,2,0,0,2,0,1,M
62,2007-03-10,LL,5,1,3,5,0,3,Draw
63,2006-10-22,LL,2,0,0,3,0,2,M
64,2006-04-01,LL,2,0,1,6,1,1,Draw
65,2005-11-19,LL,2,0,3,3,0,0,B
66,2005-04-10,LL,3,0,2,3,0,4,M
67,2004-11-20,LL,0,0,3,2,0,0,B
68,2004-04-25,LL,0,0,2,5,1,1,B
69,2003-12-06,LL,5,0,1,2,0,2,M
70,2003-04-19,LL,2,0,1,3,0,1,Draw
71,2002-11-23,LL,3,0,0,4,0,0,Draw
72,2002-05-01,CL,1,0,1,2,0,1,Draw
73,2002-04-24,CL,3,0,0,3,,2,M
74,2002-03-16,LL,3,0,1,2,0,1,Draw
75,2001-11-04,LL,3,0,0,2,0,2,M
76,2001-03-03,LL,2,0,2,3,0,2,Draw
77,2000-10-21,LL,2,0,2,4,0,0,B
78,2000-02-27,LL,4,0,0,3,1,3,M
79,1999-10-13,LL,4,1,2,3,0,2,Draw
80,1999-02-14,LL,4,0,3,2,1,0,B
81,1998-09-19,LL,6,0,2,4,0,2,Draw
82,1998-03-07,LL,2,0,3,2,1,0,B
83,1997-11-01,LL,2,0,3,2,0,2,B
84,1997-08-23,SC,2,0,1,4,0,4,M
85,1997-08-20,SC,1,0,2,3,0,1,B
86,1997-05-10,LL,4,0,1,3,0,0,B
87,1997-02-06,KC,6,0,1,6,1,1,Draw
88,1997-01-30,KC,3,0,3,3,0,2,B
89,1996-12-07,LL,2,0,0,4,0,2,M
90,1996-02-10,LL,1,0,3,0,0,0,B
91,1995-09-30,LL,7,1,1,3,0,1,Draw
92,1995-05-27,LL,4,0,1,3,0,0,B
93,1995-01-07,LL,1,1,0,2,0,5,M
94,1994-05-07,LL,2,0,1,2,0,0,B
95,1994-01-08,LL,1,0,5,0,0,0,B
96,1993-12-16,SC,3,1,1,4,0,1,Draw
97,1993-12-02,SC,2,0,1,2,0,3,M
98,1993-06-16,KC,4,0,1,4,1,2,M
99,1993-06-09,KC,4,0,1,2,0,1,Draw
100,1993-01-30,LL,5,0,1,3,0,2,M
101,1992-09-05,LL,4,1,2,2,0,1,B
102,1992-03-07,LL,1,0,1,0,0,1,Draw
103,1991-10-19,LL,2,1,1,1,0,1,Draw
104,1991-09-11,FM,,,1,,,1,Draw
105,1991-06-08,LL,3,0,0,2,0,1,M
106,1991-05-01,FM,,,1,,,3,M
107,1991-01-19,LL,1,0,2,3,0,1,B
108,1990-12-12,SC,3,0,1,2,0,4,M
109,1990-12-05,SC,2,1,0,3,0,1,M
110,1990-04-05,KC,4,0,2,2,1,0,B
111,1990-02-15,LL,2,2,2,4,0,3,M
112,1989-10-07,LL,4,0,3,2,1,1,B
113,1989-04-01,LL,2,0,0,1,0,0,Draw
114,1988-09-29,SC,0,0,2,2,0,1,B
115,1988-09-21,SC,1,0,0,2,0,2,M
116,1988-10-22,LL,1,0,2,0,0,3,M
117,1988-04-30,LL,2,0,2,2,0,0,B
118,1988-01-02,LL,1,0,1,1,0,2,M
119,1987-05-23,LL,2,0,2,2,0,1,B
120,1987-04-12,LL,2,0,0,1,0,0,Draw
121,1987-01-31,LL,2,0,3,2,0,2,B
122,1986-10-08,LL,3,0,1,2,0,1,Draw
123,1986-05-18,LC,1,0,4,4,1,0,B
124,1986-05-11,LC,2,0,1,1,0,1,Draw
125,1986-03-08,LL,4,1,1,1,0,3,M
126,1985-11-09,LL,2,0,2,2,0,0,B
127,1985-05-18,LC,1,0,1,2,0,1,Draw
128,1985-05-11,LC,1,1,2,0,1,2,Draw
